Date,Portfolio Value
2020-04-22,115211.34353689056
2020-04-23,115385.99985719196
2020-04-27,118185.29602851562
2020-04-28,118371.46023546078
2020-04-29,121548.07973297533
2020-04-30,120327.94874772611
2020-05-01,117122.15271643578
2020-05-04,116748.3019477144
2020-05-05,117117.46516591165
2020-05-06,115871.4030635316
2020-05-07,117370.20774383823
2020-05-08,119791.02272884604
2020-05-11,118838.08756086793
2020-05-12,116308.96337664872
2020-05-13,114160.94039884415
2020-05-14,116519.16419819367
2020-05-15,116327.47687633455
2020-05-18,121306.83906195946
2020-05-19,118903.9434362613
2020-05-20,120996.66213832163
2020-05-21,120677.05081213923
2020-05-22,120629.60794335976
2020-05-26,123782.59590227818
2020-05-27,126833.06901997207
2020-05-28,126182.86205039665
2020-05-29,125462.66289616055
2020-06-01,126531.86647596378
2020-06-02,128006.10389867147
2020-06-03,131703.720971661
2020-06-04,132508.96653657182
2020-06-05,136795.77414869945
2020-06-09,138874.89619372657
2020-06-10,137406.80734701583
2020-06-11,129021.79562370447
2020-06-12,131193.80675982533
2020-06-15,132282.1518567848
2020-06-16,134877.5147459357
2020-06-17,133963.7409444303
2020-06-18,133762.65956885612
2020-06-19,133208.66682195748
2020-06-22,133703.190763682
2020-06-23,134463.7838698104
2020-06-24,130948.7917456618
2020-06-25,132739.35786761515
2020-06-26,128605.67101960373
2020-06-29,131483.05067528214
2020-06-30,132564.18930378195
2020-07-01,133529.33129042538
2020-07-02,133896.6939320405
2020-07-06,136650.98778662086
2020-07-07,134930.5468634732
2020-07-08,135836.2575249678
2020-07-09,134783.67996526914
2020-07-10,136858.70993530183
2020-07-13,136340.72848324868
2020-07-14,138698.15358602535
2020-07-15,139813.45625906842
2020-07-16,139118.08865092136
2020-07-17,138845.7306669659
2020-07-20,140048.64931446267
2020-07-22,140342.1465695037
2020-07-23,138357.7562580175
2020-07-24,137353.51824028147
2020-07-27,137911.9396299272
2020-07-28,137614.38147027948
2020-07-29,139231.16546795453
2020-07-30,137542.6163359822
2020-07-31,138464.38587264897
2020-08-03,139270.52688923632
2020-08-04,139981.14608332363
2020-08-05,142205.17955254248
2020-08-06,143360.04398370822
2020-08-07,143377.44104796753
2020-08-10,144880.0583112754
2020-08-11,144480.56142168623
2020-08-12,145537.93936856152
2020-08-13,145221.88675423776
2020-08-14,145398.8457721664
2020-08-17,144638.46660239517
2020-08-18,144830.64472667157
2020-08-19,144534.32444138394
2020-08-20,144988.89098455873
2020-08-21,145757.33126186408
2020-08-24,147725.2487007538
2020-08-25,148460.05974659353
2020-08-26,152290.359432701
2020-08-27,153909.15153885476
2020-08-28,154678.77001618178
2020-08-31,153905.6216294258
2020-09-02,158586.72757757857
2020-09-03,152900.34343907752
2020-09-04,152242.493763975
2020-09-08,146547.08806203987
2020-09-09,149672.16884539495
2020-09-10,147422.86153085864
2020-09-11,147410.9002968155
2020-09-14,150261.06368242626
2020-09-15,149968.8227440205
2020-09-16,149279.82882802075
2020-09-17,147857.29813469131
2020-09-18,145570.5297460651
2020-09-21,143866.45353097247
2020-09-22,145349.9458979236
2020-09-23,140843.50949884864
2020-09-24,141699.99661581896
2020-09-25,144658.7199709843
2020-09-28,147864.49007396394
2020-09-29,147212.05131385254
2020-09-30,148807.14346836627
2020-10-01,149925.89029609953
2020-10-02,148447.51694786732
2020-10-05,151076.27283181815
2020-10-06,148498.30235571356
2020-10-07,151376.41572137995
2020-10-08,152562.9751732978
2020-10-09,153782.20699253675
2020-10-12,156460.21728242282
2020-10-13,154778.01081992785
2020-10-15,153232.76329053417
2020-10-16,153083.7464718938
2020-10-19,150638.3034699229
2020-10-20,152335.8266847373
2020-10-21,152081.80971769933
2020-10-22,153162.9649284791
2020-10-23,152693.7201218847
2020-10-26,149544.78663246435
2020-10-27,148891.68907253694
2020-10-28,144294.05140832652
2020-10-29,145577.01768330386
2020-10-30,143549.51255317588
2020-11-02,145711.96854192085
2020-11-03,148822.5532203495
2020-11-04,150739.98275834316
2020-11-05,154305.30856005824
2020-11-06,154029.34584999343
2020-11-09,161694.59558016443
2020-11-10,162149.58539917442
2020-11-11,162119.6584726071
